raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Branca,F,< 23,,,1,17,NS,2,6600,800.4,709.1,750.1,738.5,920,Branca,,749.525,3300
Parda,M,< 23,3514403,Estadual,2,16,G2,3,3300,511.7,500.3,400.5,479.5,580,PPI,Publica,473,1100
Parda,F,< 23,,,1,12,G2,2,1650,,,,,,PPI,,,825
Branca,F,< 23,,,2,12,G5,4,2200,486.1,547.3,555.4,403.6,600,Branca,Publica,498.1,550
Parda,F,31-50,,,1,12,G2,3,4400,580,560.3,707.6,563.7,720,PPI,,602.9,1466.66666666667
Branca,F,< 23,3511508,Estadual,2,5,G3,2,2750,,,,,,Branca,Publica,,1375
Branca,F,< 23,,,1,12,G3,4,2200,,,,,,Branca,,,550
Branca,M,< 23,,,1,12,G4,5,4400,682.4,573.8,636.2,575.6,760,Branca,,617,880
Parda,M,31-50,,,1,12,G3,4,2200,527.1,425.8,445.3,489.9,0,PPI,,472.025,550
Parda,F,< 23,,,1,12,G4,3,4400,,,,,,PPI,,,1466.66666666667
Branca,F,< 23,,,2,12,G3,4,2750,530,526.9,549.3,453,660,Branca,Publica,514.8,687.5
Branca,F,< 23,,,1,12,NS,4,1650,640.6,608.7,620.1,533.3,720,Branca,,600.675,412.5
Parda,M,< 23,,,1,12,G4,3,5500,,,,,,PPI,,,1833.33333333333
Branca,F,< 23,3548500,Privada,3,17,G5,5,30000,720,550.4,574.5,562.7,580,Branca,Privada,601.9,6000
Branca,F,< 23,,,1,9,G3,3,3300,509.6,533.2,561.4,544.3,620,Branca,,537.125,1100
Branca,M,< 23,3550308,Estadual,2,16,G2,4,3300,,,,,,Branca,Publica,,825
Parda,F,< 23,,,1,9,NS,8,1650,490.9,492.1,535.8,449.7,580,PPI,,492.125,206.25
Parda,M,< 23,,,2,12,G2,4,7700,688,517.2,574.7,488,660,PPI,Publica,566.975,1925
Branca,F,< 23,,,1,2,G2,8,3300,662.1,558.9,657.9,601.1,800,Branca,,620,412.5
Branca,F,< 23,,,1,17,G5,4,30000,,,,,,Branca,,,7500
Branca,M,< 23,3550308,Privada,3,17,G4,3,16500,768.6,610.4,668.1,687.9,920,Branca,Privada,683.75,5500
Preta,F,< 23,,,2,12,G2,2,1650,,,,,,PPI,Publica,,825
Branca,F,< 23,,,1,12,G2,3,2750,476.7,457.4,492.2,429.7,440,Branca,,464,916.666666666667
Parda,F,31-50,,,1,2,G3,3,1100,492.3,532,582.8,503,580,PPI,,527.525,366.666666666667
Branca,F,< 23,3518800,Estadual,2,9,G4,2,1650,444.8,509,565.5,440.4,660,Branca,Publica,489.925,825
Parda,M,24-30,,,1,12,G3,5,2750,468.3,518.9,512.3,489.5,0,PPI,,497.25,550
Branca,F,< 23,,,2,12,G3,3,1100,594,531.2,561.9,443.3,800,Branca,Publica,532.6,366.666666666667
Branca,F,< 23,3548807,Municipal,3,16,G3,5,3300,532,465.2,448.9,459.9,660,Branca,Privada,476.5,660
Parda,F,31-50,,,1,12,NS,4,1650,,,,,,PPI,,,412.5
Parda,M,< 23,,,1,12,G3,5,2200,592.1,473.3,534.7,516.8,800,PPI,,529.225,440
Parda,M,< 23,3502804,Estadual,2,,NS,3,1100,,,,,,PPI,Publica,,366.666666666667
Parda,F,< 23,3551702,Privada,3,12,G4,3,9900,434,490.7,489.7,467.6,720,PPI,Privada,470.5,3300
Branca,F,< 23,3523404,Estadual,2,9,G2,5,1100,374.6,388.8,409,432.2,420,Branca,Publica,401.15,220
Branca,F,< 23,,,1,16,NS,5,1650,,537.4,552.8,,740,Branca,,,330
Parda,M,< 23,,,1,12,G3,4,1650,799.3,545.7,578.7,591.7,640,PPI,,628.85,412.5
Parda,F,< 23,,,2,5,G2,3,2750,525,515.6,501.5,437.7,500,PPI,Publica,494.95,916.666666666667
Branca,F,< 23,,,1,17,G4,5,13200,730.1,621.4,643.4,686.6,900,Branca,,670.375,2640
Branca,F,< 23,,,1,12,G1,5,3300,692.5,657.6,676.2,652.2,920,Branca,,669.625,660
Preta,M,31-50,,,1,2,G3,4,2750,,,,,,PPI,,,687.5
Branca,M,< 23,3542602,Estadual,2,2,NS,6,1100,,,,,,Branca,Publica,,183.333333333333
Parda,F,< 23,,,2,12,G2,5,3300,,,,,,PPI,Publica,,660
Branca,F,< 23,,,2,12,G1,3,1100,,,,,,Branca,Publica,,366.666666666667
Branca,M,< 23,3534609,Estadual,2,12,G4,4,6600,,,,,,Branca,Publica,,1650
Branca,F,< 23,,,1,16,G2,3,5500,670.1,659.4,723.3,644.2,880,Branca,,674.25,1833.33333333333
Parda,F,< 23,,,2,5,G2,7,1100,,463.2,552.7,,440,PPI,Publica,,157.142857142857
Parda,F,< 23,,,2,12,G3,3,2200,,,,,,PPI,Publica,,733.333333333333
Branca,M,< 23,3539301,Privada,3,17,G5,3,5500,791.8,671.5,703.9,701.4,820,Branca,Privada,717.15,1833.33333333333
Parda,M,< 23,3530508,Estadual,2,5,G3,5,1650,628.8,574.5,644.6,550.1,720,PPI,Publica,599.5,330
Parda,M,24-30,,,1,12,G4,6,2200,682.9,622.9,638,562,540,PPI,,626.45,366.666666666667
Parda,M,24-30,,,1,12,G4,2,1100,560.1,623.2,594.9,559.5,960,PPI,,584.425,550
Parda,F,31-50,,,1,16,NS,2,4400,594.7,580.2,555.5,495.9,620,PPI,,556.575,2200
Branca,F,< 23,3547809,Privada,3,12,G2,4,6600,715.5,511.5,575.3,560.7,700,Branca,Privada,590.75,1650
Branca,M,< 23,,,1,2,G3,3,2750,534.2,612.2,671.8,509,640,Branca,,581.8,916.666666666667
Branca,M,< 23,3550308,Privada,3,9,G4,3,1650,451.2,489.9,563.1,476.2,580,Branca,Privada,495.1,550
Parda,F,24-30,,,1,0,G1,2,1100,439.2,483,464.3,447.7,560,PPI,,458.55,550
Branca,M,< 23,,,1,17,G5,3,2750,691,574.5,640.1,623.4,580,Branca,,632.25,916.666666666667
Parda,M,< 23,3516408,Estadual,2,2,G2,4,2750,644,616.2,645.4,597.6,840,PPI,Publica,625.8,687.5
Branca,F,< 23,3550308,Estadual,2,9,G3,3,2750,,,,,,Branca,Publica,,916.666666666667
Branca,M,31-50,,,1,12,G3,2,2200,637.2,560.8,638.3,561.5,500,Branca,,599.45,1100
Branca,F,< 23,3506508,Federal,2,12,G4,4,2750,580.3,492.1,451.3,545.2,760,Branca,Publica,517.225,687.5
Branca,F,< 23,3524709,Estadual,2,9,G3,4,5500,,,,,,Branca,Publica,,1375
Parda,M,< 23,,,1,16,G4,4,4400,,,,,,PPI,,,1100
Parda,M,< 23,,,1,2,G3,2,1100,413.6,541.6,509,583.2,640,PPI,,511.85,550
Branca,F,< 23,,,1,12,G2,5,1650,567.6,556.2,545.4,515.6,720,Branca,,546.2,330
Branca,F,< 23,,,1,2,G4,4,1100,,,,,,Branca,,,275
Branca,F,< 23,3509502,Estadual,2,12,G3,3,1650,,,,,,Branca,Publica,,550
Branca,F,< 23,,,1,9,G2,3,2750,651.9,637.8,647.3,683.1,860,Branca,,655.025,916.666666666667
Branca,F,24-30,,,1,12,G3,3,2200,,546.8,530.6,,540,Branca,,,733.333333333333
Branca,F,31-50,,,1,12,G2,9,9900,452.1,448,510.9,412.4,600,Branca,,455.85,1100
Branca,F,< 23,3538709,Estadual,2,12,G4,3,4400,,493.2,523.4,,560,Branca,Publica,,1466.66666666667
Branca,F,31-50,,,1,12,G4,4,2200,,457,418.1,,440,Branca,,,550
Parda,M,< 23,3547809,Estadual,2,16,G2,4,2200,489,474.9,448.2,355.7,560,PPI,Publica,441.95,550
Parda,F,< 23,3547304,Municipal,2,9,G3,3,1650,417.2,452.7,409.6,448.7,660,PPI,Publica,432.05,550
Parda,F,< 23,3514403,Estadual,2,12,G3,4,3300,652.7,487.1,560.7,578.5,740,PPI,Publica,569.75,825
Parda,F,< 23,3533403,Estadual,2,16,G5,4,5500,501.8,496.3,526.4,513.2,640,PPI,Publica,509.425,1375
Branca,M,24-30,,,1,9,G4,4,3300,570.9,424.4,572.9,599.3,820,Branca,,541.875,825
Branca,F,> 50,,,1,12,G3,4,6600,,,,,,Branca,,,1650
Parda,M,< 23,3509007,Estadual,2,12,G3,3,2200,541.8,472.1,519.4,439.3,380,PPI,Publica,493.15,733.333333333333
Parda,M,< 23,,,1,5,NS,5,2200,,369.2,400.1,,420,PPI,,,440
Branca,M,< 23,,,1,2,G2,4,1650,581.8,473,647.2,530.2,760,Branca,,558.05,412.5
Parda,M,24-30,,,1,0,G2,4,1100,441.1,564.2,580.4,439.3,340,PPI,,506.25,275
Parda,M,24-30,,,1,5,G2,6,4400,563.4,586,519.6,503.7,420,PPI,,543.175,733.333333333333
Branca,M,24-30,,,1,9,G3,3,2200,426.7,538.6,575.6,517.7,620,Branca,,514.65,733.333333333333
Parda,F,< 23,3543303,Estadual,2,5,G3,3,2200,477.4,530,563.7,391.8,600,PPI,Publica,490.725,733.333333333333
Branca,F,< 23,,,1,17,G4,3,2750,529.9,575,604.3,489.6,580,Branca,,549.7,916.666666666667
Parda,F,< 23,,,1,9,G3,2,2200,,,,,,PPI,,,1100
Branca,M,< 23,,,1,9,G3,3,3300,620.7,579.1,631.8,557.5,680,Branca,,597.275,1100
Branca,M,< 23,3526902,Privada,3,16,G5,3,7700,801.9,575.9,637.9,630.9,900,Branca,Privada,661.65,2566.66666666667
Branca,F,< 23,,,1,16,G2,3,2200,,,,,,Branca,,,733.333333333333
Branca,F,< 23,,,1,5,G3,5,2750,,569.5,600.8,,800,Branca,,,550
Preta,M,< 23,,,1,9,G2,4,2750,,,,,,PPI,,,687.5
Branca,F,< 23,3548708,Privada,3,16,G4,4,7700,647.6,546.7,609.6,596.8,860,Branca,Privada,600.175,1925
Branca,F,31-50,,,1,2,NS,1,1100,,,,,,Branca,,,1100
Parda,F,< 23,,,1,5,G2,2,2200,,469.1,381.1,,800,PPI,,,1100
Parda,F,< 23,,,2,9,G3,8,1650,484.6,480.6,488.8,445.7,660,PPI,Publica,474.925,206.25
Parda,F,< 23,,,1,5,G1,1,0,,,,,,PPI,,,0
Branca,F,< 23,,,1,12,NS,3,3300,,,,,,Branca,,,1100
Branca,F,< 23,,,1,5,G3,2,1650,,,,,,Branca,,,825
Parda,M,< 23,,,1,2,NS,2,1650,,,,,,PPI,,,825
Parda,M,< 23,,,1,,NS,2,1100,390.4,387.9,460.3,457.5,460,PPI,,424.025,550
Preta,M,< 23,,,1,,G3,3,0,,,,,,PPI,,,0
Branca,F,< 23,,,1,2,G3,9,4400,611.3,577.9,621.8,546.5,780,Branca,,589.375,488.888888888889
Branca,F,< 23,,,3,16,G5,3,16500,650.8,685.6,626.7,573.2,900,Branca,Privada,634.075,5500
Branca,F,< 23,3304557,Privada,2,17,G5,3,22000,764.9,498.3,666.5,617.9,920,Branca,Publica,636.9,7333.33333333333
Parda,M,< 23,,,2,2,G1,6,1100,,,,,,PPI,Publica,,183.333333333333
Branca,F,< 23,,,1,2,G1,3,1650,,,,,,Branca,,,550
Parda,F,< 23,,,1,2,G2,1,0,,,,,,PPI,,,0
Parda,M,< 23,3550308,Estadual,2,12,G3,3,1100,,,,,,PPI,Publica,,366.666666666667
Branca,M,< 23,,,1,12,G2,5,3300,,,,,,Branca,,,660
Branca,F,< 23,,,1,2,G3,3,2200,529.3,514.9,522.6,452.2,840,Branca,,504.75,733.333333333333
Branca,M,< 23,,,2,,G4,3,1650,539.1,540.6,497.4,505,480,Branca,Publica,520.525,550
Preta,F,< 23,,,1,12,G3,4,2750,472.1,524.8,509.1,580.8,640,PPI,,521.7,687.5
Parda,M,< 23,,,1,2,NS,2,1650,624.9,547.3,560.9,433.5,680,PPI,,541.65,825
Parda,F,< 23,3550308,Estadual,2,12,NS,3,2750,,,,,,PPI,Publica,,916.666666666667
Branca,M,< 23,,,1,2,G2,4,5500,,,,,,Branca,,,1375
Parda,M,31-50,,,1,2,G3,6,3300,,,,,,PPI,,,550
Branca,F,< 23,,,1,12,G4,4,4400,530.8,538.6,660.4,636.3,680,Branca,,591.525,1100
Preta,M,< 23,3550308,Estadual,2,9,G3,2,4400,,454.9,358.2,,520,PPI,Publica,,2200
Branca,F,< 23,,,2,12,NS,4,1650,486.3,506.1,454.8,433.9,780,Branca,Publica,470.275,412.5
ND,F,31-50,,,1,16,G4,1,0,,,,,,,,,0
Preta,M,31-50,,,1,9,G3,4,2200,,,,,,PPI,,,550
Branca,F,< 23,,,1,12,G4,2,16500,718.3,548.1,560.9,629.5,900,Branca,,614.2,8250
Branca,M,< 23,3550308,Estadual,2,12,G2,2,1650,427.2,545.1,606.8,504.8,600,Branca,Publica,520.975,825
Branca,M,< 23,3550308,Estadual,2,17,G2,4,1100,491.7,552.3,596.5,510.1,480,Branca,Publica,537.65,275
Branca,F,< 23,3518701,Estadual,2,9,G2,3,1100,711.6,654.9,702.4,609.8,860,Branca,Publica,669.675,366.666666666667
Branca,F,< 23,,,1,12,G2,4,1650,371.2,419.2,471.1,448.6,560,Branca,,427.525,412.5
Branca,M,< 23,3550308,Privada,3,17,G3,4,9900,863.6,671.3,621,655.1,820,Branca,Privada,702.75,2475
Parda,F,31-50,,,1,12,G2,2,2200,,,,,,PPI,,,1100
Branca,F,< 23,,,2,12,G4,3,3300,471.8,522.7,567.8,596.1,860,Branca,Publica,539.6,1100
Amarela,F,< 23,,,1,12,G4,3,2750,711.2,635.4,665.4,607.8,460,Branca,,654.95,916.666666666667
Preta,M,24-30,,,1,2,G2,1,2750,,,,,,PPI,,,2750
Branca,F,< 23,,,2,12,G2,5,2750,,,,,,Branca,Publica,,550
Preta,M,< 23,,,1,9,G2,4,1100,,,,,,PPI,,,275
Branca,M,< 23,3502804,Privada,3,17,G5,2,6600,615.8,514.5,489.1,466.3,760,Branca,Privada,521.425,3300
Parda,F,< 23,,,1,5,G3,3,1650,370.1,474.6,468.9,428.3,420,PPI,,435.475,550
Branca,F,< 23,3546603,Privada,2,17,G4,7,1100,,,,,,Branca,Publica,,157.142857142857
Parda,M,< 23,3548708,Estadual,2,17,G4,4,5500,581.9,518.8,434.3,440.8,500,PPI,Publica,493.95,1375
Branca,M,< 23,3552205,Estadual,2,5,G3,3,1100,617.6,517.9,509.8,564.8,480,Branca,Publica,552.525,366.666666666667
Parda,F,31-50,,,1,5,G2,2,1100,,,,,,PPI,,,550
Parda,F,< 23,,,1,12,G2,4,1100,535.3,468.2,457.5,405.1,480,PPI,,466.525,275
Preta,M,< 23,,,1,5,NS,3,0,372,538.5,552.2,467.3,360,PPI,,482.5,0
Branca,F,< 23,3525003,Estadual,2,12,G4,3,2200,526.3,523.9,477.9,498.8,700,Branca,Publica,506.725,733.333333333333
Branca,M,< 23,3530607,Privada,3,16,NS,3,6600,735.8,568.1,584.2,663.1,900,Branca,Privada,637.8,2200
Branca,M,< 23,3550308,Privada,3,9,G4,4,2200,638.6,556.5,550.8,542.3,420,Branca,Privada,572.05,550
Parda,F,< 23,3502507,Estadual,2,5,G3,6,1100,445.7,506.6,468.8,512.1,560,PPI,Publica,483.3,183.333333333333
Branca,M,24-30,,,1,2,G3,4,2750,,,,,,Branca,,,687.5
Branca,F,< 23,,,2,9,G2,3,1650,,,,,,Branca,Publica,,550
Parda,F,< 23,,,1,12,G2,4,1100,472.2,424.9,453.2,449.6,540,PPI,,449.975,275
Preta,M,< 23,3550308,Estadual,2,12,NS,4,1100,574.9,448.7,481.2,533.1,520,PPI,Publica,509.475,275
Parda,F,31-50,,,1,16,G3,3,3300,,,,,,PPI,,,1100
Branca,F,> 50,,,1,5,G4,3,4400,480,501.3,591,489.6,600,Branca,,515.475,1466.66666666667
Preta,M,24-30,,,1,12,G2,6,3300,,,,,,PPI,,,550
Branca,F,< 23,3526506,Estadual,2,16,G1,3,2200,,,,,,Branca,Publica,,733.333333333333
Branca,M,< 23,3545209,Estadual,2,12,G3,3,9900,588.8,557.1,615.8,569.6,580,Branca,Publica,582.825,3300
Branca,F,< 23,3550308,Privada,3,16,G5,3,11000,584.3,518.6,394.7,410.5,760,Branca,Privada,477.025,3666.66666666667
Branca,F,< 23,3534401,Estadual,2,12,G2,3,1650,395.6,413.5,337.6,387.1,500,Branca,Publica,383.45,550
Branca,M,< 23,,,2,12,G3,5,2200,611.6,505,463.6,530.9,720,Branca,Publica,527.775,440
Branca,F,< 23,3545803,Privada,3,16,G4,4,30000,611.5,524.8,483.3,414.7,640,Branca,Privada,508.575,7500
Branca,F,24-30,,,1,17,NS,2,1650,,,,,,Branca,,,825
Branca,F,< 23,,,1,5,G2,4,2200,,,,,,Branca,,,550
Branca,F,< 23,,,1,12,G2,5,1100,393.6,471.4,478.4,447,460,Branca,,447.6,220
Branca,F,< 23,,,1,12,G2,3,1650,,,,,,Branca,,,550
Parda,F,24-30,,,1,9,G2,2,1100,,,,,,PPI,,,550
Parda,M,24-30,,,1,5,G1,1,1650,,,,,,PPI,,,1650
Branca,F,31-50,,,1,16,NS,1,0,666.5,586.4,587.2,642.4,540,Branca,,620.625,0
Branca,F,< 23,,,1,17,G4,1,1100,,,,,,Branca,,,1100
Branca,F,< 23,3550308,Privada,2,16,G4,4,6600,512.4,532.2,455.1,451.5,540,Branca,Publica,487.8,1650
Branca,F,< 23,,,1,16,G5,4,16500,676,578.7,629.4,593.4,860,Branca,,619.375,4125
Branca,F,< 23,3530607,Privada,3,16,G5,3,6600,755.2,625,652.6,582.2,860,Branca,Privada,653.75,2200
Parda,F,< 23,,,2,12,G4,4,1650,400.5,493.7,530.1,391,460,PPI,Publica,453.825,412.5
Branca,F,< 23,3550308,Estadual,2,9,G4,4,0,,,,,,Branca,Publica,,0
Parda,M,24-30,,,1,9,G2,5,2750,624.6,489.3,575.2,607.3,600,PPI,,574.1,550
Parda,M,< 23,,,1,2,NS,1,1100,,,,,,PPI,,,1100
Branca,M,< 23,3541406,Estadual,2,17,G2,3,3300,518,425.4,489.2,387.7,460,Branca,Publica,455.075,1100
Amarela,M,< 23,3525904,Privada,3,,G5,3,22000,531.8,379.4,404.4,451.3,680,Branca,Privada,441.725,7333.33333333333
Branca,F,< 23,3534401,Privada,2,12,G3,3,2750,597.3,516.2,491,377.1,740,Branca,Publica,495.4,916.666666666667
Branca,M,< 23,,,1,9,G3,4,1100,433,508.1,547.2,471.8,660,Branca,,490.025,275
Parda,F,< 23,,,2,12,G4,4,5500,466.6,550.9,561.5,473.4,740,PPI,Publica,513.1,1375
Parda,M,< 23,,,1,5,G2,2,1100,373.1,532.9,566.6,485.4,500,PPI,,489.5,550
Branca,F,< 23,,,1,5,G3,3,4400,654.4,532.5,553.6,518,640,Branca,,564.625,1466.66666666667
Branca,F,< 23,,,1,16,G5,3,30000,816.8,663.2,748.8,687.1,920,Branca,,728.975,10000
Parda,M,31-50,,,1,12,G4,4,2200,519.9,491,567.7,577.6,240,PPI,,539.05,550
Branca,M,24-30,,,1,2,G1,2,0,651.6,569.4,599.8,591.5,580,Branca,,603.075,0
Branca,F,< 23,,,1,17,G5,4,5500,563.6,547.9,623.7,500.9,580,Branca,,559.025,1375
Branca,F,< 23,,,1,9,G3,4,2750,,,,,,Branca,,,687.5
Parda,F,< 23,,,2,5,G3,4,1650,,,,,,PPI,Publica,,412.5
Parda,M,< 23,,,1,16,G3,4,2750,698.7,518.2,452.9,401,680,PPI,,517.7,687.5
Branca,M,< 23,,,1,12,G4,3,4400,679.3,534.8,582.9,647.5,800,Branca,,611.125,1466.66666666667
Parda,F,< 23,3550308,Estadual,2,9,G3,4,1650,445.9,367.5,348.6,354.5,560,PPI,Publica,379.125,412.5
Branca,F,< 23,3520301,Estadual,2,12,G2,4,2200,518.2,490.3,432.6,451.8,540,Branca,Publica,473.225,550
Parda,F,24-30,,,1,12,NS,7,2200,470.2,428.8,419.4,374.1,440,PPI,,423.125,314.285714285714
Branca,F,24-30,,,1,12,NS,2,0,,,,,,Branca,,,0
Parda,M,< 23,,,1,12,G2,3,2200,435.4,434.7,503,476.2,760,PPI,,462.325,733.333333333333
Parda,M,31-50,,,1,9,G3,1,1650,,,,,,PPI,,,1650
Branca,F,< 23,3550308,Privada,3,16,G4,3,16500,,546.4,543.6,,600,Branca,Privada,,5500
Parda,F,< 23,,,1,12,G3,3,2200,,,,,,PPI,,,733.333333333333
Branca,M,< 23,3513801,Estadual,2,12,NS,4,2200,501.2,454.7,532.3,390.3,600,Branca,Publica,469.625,550
Branca,M,< 23,,,1,16,G3,3,2200,423.5,437.8,462.1,445.8,640,Branca,,442.3,733.333333333333
Branca,M,< 23,,,1,12,G2,5,1100,,,,,,Branca,,,220
Branca,M,< 23,,,1,12,NS,5,2200,654.1,560.3,418.6,576.8,840,Branca,,552.45,440
Preta,F,< 23,3550308,Privada,2,16,G4,4,4400,637.5,566.7,588.5,506.8,600,PPI,Publica,574.875,1100
Branca,F,< 23,,,1,5,G2,4,1100,,507.6,416.5,,400,Branca,,,275
Branca,F,< 23,,,1,12,G3,3,3300,,,,,,Branca,,,1100
Preta,F,< 23,3542602,Federal,2,12,G3,4,3300,502.9,549.8,574.1,497,740,PPI,Publica,530.95,825
Branca,F,< 23,3554102,Privada,3,16,G5,3,16500,780.2,638.6,685.3,631.6,920,Branca,Privada,683.925,5500
Branca,F,< 23,3523909,Estadual,2,12,G3,3,2200,653.9,601.9,626.1,573.1,640,Branca,Publica,613.75,733.333333333333
Branca,F,< 23,3550308,Privada,2,12,NS,2,1100,483.7,552.2,621.8,467.4,800,Branca,Publica,531.275,550
Branca,F,< 23,,,2,12,NS,4,1650,547.5,516.8,538.1,469.8,600,Branca,Publica,518.05,412.5
Parda,F,< 23,3529401,Estadual,2,12,G3,4,2750,542.2,451.6,337.3,442.3,500,PPI,Publica,443.35,687.5
Parda,M,< 23,,,1,2,G1,6,3300,679.9,407.4,534.5,412.8,680,PPI,,508.65,550
Branca,F,< 23,,,1,5,G3,3,3300,597.2,560.7,588.9,480.3,520,Branca,,556.775,1100
Parda,M,< 23,,,1,,NS,2,1650,,,,,,PPI,,,825
Branca,F,31-50,,,1,2,G1,3,4400,471.8,337.9,524,508.5,600,Branca,,460.55,1466.66666666667
Parda,M,< 23,3550308,Federal,2,12,G3,5,2200,684.5,508,608.8,612.6,780,PPI,Publica,603.475,440
Branca,M,< 23,3550308,Estadual,2,12,G4,4,3300,549.7,457.7,484.8,416.5,560,Branca,Publica,477.175,825
Branca,F,< 23,3541406,Privada,3,,NS,4,5500,,,,,,Branca,Privada,,1375
Preta,M,24-30,,,1,5,G4,3,4400,,,,,,PPI,,,1466.66666666667
Branca,M,< 23,,,1,12,G3,4,1100,,,,,,Branca,,,275
Branca,M,< 23,3549904,Estadual,2,,G2,2,1100,498.2,523.8,549,518.3,880,Branca,Publica,522.325,550
Branca,M,< 23,,,1,17,G4,3,11000,764.9,595.9,713.3,547.8,620,Branca,,655.475,3666.66666666667
Preta,F,< 23,3550308,Estadual,2,12,G3,6,6600,425.3,517,398.2,432.8,480,PPI,Publica,443.325,1100
Parda,F,31-50,,,1,2,G3,4,1650,,,,,,PPI,,,412.5
Parda,F,< 23,,,1,9,G4,5,2200,,,,,,PPI,,,440
Parda,F,< 23,3550308,Estadual,2,5,G3,3,1650,579.4,557.6,490.1,404.3,780,PPI,Publica,507.85,550
Branca,F,< 23,3550308,Estadual,2,12,G5,4,13200,500.4,592.3,623.2,563.3,580,Branca,Publica,569.8,3300
Parda,F,< 23,,,2,16,NS,7,1650,516.5,464.5,552.1,470.1,620,PPI,Publica,500.8,235.714285714286
Preta,F,< 23,,,1,12,G2,3,2750,,,,,,PPI,,,916.666666666667
Branca,M,24-30,,,1,12,G3,4,2200,585,461.5,374.3,398.9,600,Branca,,454.925,550
Branca,F,< 23,3547809,Privada,3,17,G3,3,7700,553,477.6,530.1,430.8,700,Branca,Privada,497.875,2566.66666666667
Branca,F,< 23,,,1,17,G4,2,1100,426.1,437.9,503.4,421.7,420,Branca,,447.275,550
Parda,F,< 23,3507001,Federal,2,5,G3,3,2200,617.4,516.8,641.1,541.5,500,PPI,Publica,579.2,733.333333333333
Parda,F,< 23,,,2,12,G3,2,1100,,442.1,347.4,,520,PPI,Publica,,550
Parda,M,< 23,3506102,Estadual,2,9,NS,5,1650,560.1,422.1,390.4,363.6,560,PPI,Publica,434.05,330
Branca,F,< 23,3550308,Privada,3,17,G5,3,11000,575.8,596.4,555,389.2,580,Branca,Privada,529.1,3666.66666666667
Branca,M,< 23,,,3,12,G1,2,11000,671,506,564.4,562.2,680,Branca,Privada,575.9,5500
Branca,M,< 23,,,1,12,G2,4,2200,426.2,539.8,638.7,428.5,600,Branca,,508.3,550
Parda,F,24-30,,,1,16,G2,4,4400,496.7,489.1,571,517.6,580,PPI,,518.6,1100
Parda,F,< 23,,,1,12,G3,3,1100,549.2,477.6,485.4,403.6,700,PPI,,478.95,366.666666666667
Parda,M,< 23,3526902,Estadual,2,12,G3,4,2200,430.8,574.4,635.7,518.8,740,PPI,Publica,539.925,550
Parda,M,< 23,,,1,17,G4,3,8800,,,,,,PPI,,,2933.33333333333
Branca,F,< 23,3550308,Estadual,2,16,NS,5,7700,489.7,496.4,587.7,556.2,660,Branca,Publica,532.5,1540
Branca,F,< 23,3550308,Privada,3,16,G5,4,30000,576.8,560.1,568.7,544.4,760,Branca,Privada,562.5,7500
Branca,F,< 23,,,1,17,G5,4,16500,693.5,584.5,638.3,692.6,940,Branca,,652.225,4125
Parda,F,24-30,,,1,2,G3,2,1100,,,,,,PPI,,,550
Preta,F,< 23,,,1,2,G2,4,2200,,423.1,548.8,,480,PPI,,,550
Branca,F,24-30,,,1,5,G2,3,1650,,,,,,Branca,,,550
Branca,F,< 23,,,1,16,G4,1,2200,,,,,,Branca,,,2200
Branca,M,< 23,,,1,9,G2,3,2750,580.2,520.6,540.9,475,480,Branca,,529.175,916.666666666667
Branca,M,< 23,3549805,Privada,3,16,G5,6,8800,710.7,541.4,551.1,541.9,860,Branca,Privada,586.275,1466.66666666667
Branca,M,< 23,,,1,16,G2,4,4400,635.9,421.7,482.7,526,580,Branca,,516.575,1100
Branca,F,< 23,,,1,12,G3,3,2200,,,,,,Branca,,,733.333333333333
Branca,F,< 23,,,1,12,G4,4,3300,619.9,663.2,560.9,658.6,880,Branca,,625.65,825
Branca,F,< 23,,,1,17,G4,3,8800,,,,,,Branca,,,2933.33333333333
Branca,F,< 23,,,1,17,G4,3,7700,571.4,545.8,582.5,528.9,700,Branca,,557.15,2566.66666666667
Branca,M,< 23,,,2,2,G3,4,1650,480.1,522.9,532.9,432.7,600,Branca,Publica,492.15,412.5
Branca,M,< 23,,,1,16,G2,4,3300,,,,,,Branca,,,825
Parda,M,31-50,,,1,2,G2,3,1650,,,,,,PPI,,,550
Parda,F,< 23,,,1,12,G2,2,0,,429.4,406.6,,500,PPI,,,0
Parda,M,< 23,,,1,16,G3,4,2750,518.7,370.6,476.8,433.6,500,PPI,,449.925,687.5
Branca,F,< 23,,,1,12,G3,1,1100,514.6,500.3,419.2,455.3,580,Branca,,472.35,1100
Parda,F,< 23,,,2,9,G3,4,1650,496.1,505.2,462.9,432.1,480,PPI,Publica,474.075,412.5
Preta,F,< 23,,,2,12,G3,4,1650,,,,,,PPI,Publica,,412.5
Branca,F,< 23,,,2,12,G4,2,2200,419.6,482.9,428.5,544.6,560,Branca,Publica,468.9,1100
Branca,M,< 23,,,2,12,G4,4,2750,587.1,476.9,514.2,386.8,340,Branca,Publica,491.25,687.5
Branca,F,< 23,3518800,Privada,2,17,NS,2,4400,515.3,444.4,534.8,499.7,520,Branca,Publica,498.55,2200
