raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Branca,F,< 23,3513405,Privada,3,16,G5,3,9900,453.4,446.4,478.6,414.1,580,Branca,Privada,448.125,3300
Branca,M,< 23,,,1,12,G3,3,2200,,,,,,Branca,,,733.333333333333
Branca,F,< 23,3513405,Privada,3,12,G4,4,3300,632.9,579.3,666.1,603.9,840,Branca,Privada,620.55,825
Branca,F,< 23,,,2,2,G3,4,2200,,,,,,Branca,Publica,,550
Parda,M,< 23,3540903,Estadual,2,9,G3,3,3300,497.8,524.6,571.1,554.7,680,PPI,Publica,537.05,1100
Branca,M,24-30,,,1,12,G2,4,1650,,,,,,Branca,,,412.5
ND,F,31-50,,,1,5,G5,3,1100,,,,,,,,,366.666666666667
Branca,F,31-50,,,1,16,G4,2,3300,472.8,368.1,505.5,400.4,580,Branca,,436.7,1650
Parda,M,31-50,,,1,2,G3,3,1650,,,,,,PPI,,,550
Parda,F,< 23,,,1,2,G1,5,1100,,,,,,PPI,,,220
Parda,F,31-50,,,1,2,G2,3,0,390.4,382.8,358.1,413.3,620,PPI,,386.15,0
Preta,F,31-50,,,1,16,G4,4,7700,,,,,,PPI,,,1925
Branca,F,< 23,3548807,Privada,3,17,G5,3,22000,520.6,617.4,590.5,625,880,Branca,Privada,588.375,7333.33333333333
Parda,M,< 23,3503307,Estadual,2,12,G3,5,2200,,,,,,PPI,Publica,,440
Branca,M,< 23,,,1,5,G3,2,1650,,,,,,Branca,,,825
Branca,F,< 23,3506102,Estadual,2,2,G1,4,1650,537.5,543.9,597.1,470.9,920,Branca,Publica,537.35,412.5
Parda,F,< 23,,,2,16,G4,5,1100,500.1,469.6,484.5,510.1,600,PPI,Publica,491.075,220
Branca,M,24-30,,,1,17,G3,1,1100,655.2,661.5,709.4,578.2,520,Branca,,651.075,1100
Preta,M,< 23,3550308,Estadual,2,2,G4,7,1100,,,,,,PPI,Publica,,157.142857142857
Branca,F,< 23,,,2,12,G2,3,2200,466.5,514.5,520.1,570.6,760,Branca,Publica,517.925,733.333333333333
Branca,F,< 23,3506003,Privada,3,16,G5,5,30000,704.2,547.8,635.9,528.1,840,Branca,Privada,604,6000
Parda,F,< 23,,,1,9,G1,4,2750,421.1,527.4,527.5,439.9,660,PPI,,478.975,687.5
Branca,M,31-50,,,1,9,G3,1,1100,,,,,,Branca,,,1100
Branca,F,31-50,,,1,2,G4,1,1100,,,,,,Branca,,,1100
Parda,M,< 23,,,1,5,G4,4,4400,,,,,,PPI,,,1100
Branca,M,< 23,3550308,Privada,3,17,G4,3,7700,689.8,564.7,570,542.3,800,Branca,Privada,591.7,2566.66666666667
